Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_9627_0 unknown  have too few sites, skip
Group_12_31 blk  have too few sites, skip
Group_1184_2 fndc4a  have too few sites, skip
Group_631_0 stxbp5a  have too few sites, skip
Group_6034_0 si:ch211-101l18.9  have too few sites, skip
Group_1412_1 nme6  have too few sites, skip
Group_4_94 rab32a  have too few sites, skip
Group_842_2 abcd4  have too few sites, skip
Group_103_21 kcnh5a  have too few sites, skip
Group_3133_1 si:dkey-25e12.3  have too few sites, skip
Group_361_4 gata4  have too few sites, skip
Group_9273_0 loc107377585  have too few sites, skip
Group_1549_1 ctsbb  have too few sites, skip
Group_2626_0 abhd1  have too few sites, skip
Group_195_10 si:dkey-121b10.7  have too few sites, skip
Group_671_5 smyd2b  have too few sites, skip
Group_1123_3 hebp2  have too few sites, skip
Group_5393_0 cmtr1  have too few sites, skip
Group_8160_0 si:ch211-225h24.2  have too few sites, skip
Group_2557_0 fbxo25  have too few sites, skip
Group_6520_0 acp1  have too few sites, skip
Group_7290_0 tmem18  have too few sites, skip
Group_818_2 fig4  have too few sites, skip
Group_145_3 gpr6  have too few sites, skip
Group_40_10 gsx1  have too few sites, skip
Group_972_3 rbm24a  have too few sites, skip
Group_6617_0 vps28  have too few sites, skip
Group_6118_0 snrpd1  have too few sites, skip
Group_1736_0 atp6v1c1b  have too few sites, skip
Group_1659_2 tmem55a  have too few sites, skip
Group_7897_0 chrac1  have too few sites, skip
Group_6674_0 gatad1  have too few sites, skip
Group_6490_0 lrrc14b  have too few sites, skip
Group_4597_0 fam91a1  have too few sites, skip
Group_8899_0 baalc  have too few sites, skip
Group_5890_0 acot13  have too few sites, skip
Group_536_1 stmn2  have too few sites, skip
Group_990_0 zbtb10  have too few sites, skip
Group_1014_2 tpd52  have too few sites, skip
Group_1051_0 znf704  have too few sites, skip
Group_6024_0 mrpl53  have too few sites, skip
Group_177_17 fabp11a  have too few sites, skip
Group_2847_1 fam8a1a  have too few sites, skip
Group_8233_0 ccdc167  have too few sites, skip
Group_2996_1 mettl24  have too few sites, skip
Group_5675_0 sod2  have too few sites, skip
Group_8779_0 si:dkey-65b13.13  have too few sites, skip
Group_1595_2 smek1  have too few sites, skip
Group_293_3 eva1a  have too few sites, skip
Group_1497_1 tram2  have too few sites, skip
Group_2895_1 prep  have too few sites, skip
Group_9628_0 unknown  have too few sites, skip
Group_44_6 grik2  have too few sites, skip
Group_279_0 sim1  have too few sites, skip
Group_7417_1 ripply2  have too few sites, skip
Group_56_7 rhob  have too few sites, skip
Group_1573_1 laptm4a  have too few sites, skip
Group_6835_0 ttc32  have too few sites, skip
Group_6364_1 churc1  have too few sites, skip
Group_6364_0 churc1  have too few sites, skip
Group_4773_0 taf1a  have too few sites, skip
Group_5044_0 rnf8  have too few sites, skip
Group_1195_1 nfkbie  have too few sites, skip
Group_5995_0 slc35b2  have too few sites, skip
Group_6474_0 psmg2  have too few sites, skip
Group_659_3 hsp90ab1  have too few sites, skip
Group_2856_0 rbm25b  have too few sites, skip
Group_5027_0 eif2s1a  have too few sites, skip
Group_6496_0 atp6v1d  have too few sites, skip
Group_2346_0 gphnb  have too few sites, skip
Group_40_3 cdx1  have too few sites, skip
Group_7009_0 slc35a4  have too few sites, skip
Group_1287_0 ndst1a  have too few sites, skip
Group_4222_0 rbm22  have too few sites, skip
Group_30_8 arl3l2  have too few sites, skip
Group_3612_1 fut8  have too few sites, skip
Group_7983_0 ptrhd1  have too few sites, skip
Group_38_33 cx34.5  have too few sites, skip
Group_38_36-Group_38_37 loc107396001  have too few sites, skip
Group_6731_0 clec11a  have too few sites, skip
Group_5142_0 ttc13  have too few sites, skip
Group_6736_0 arv1  have too few sites, skip
Group_3329_1 fam89a  have too few sites, skip
Group_2418_1 trim67  have too few sites, skip
Group_6824_0 ccdc25  have too few sites, skip
Group_546_1 dnmt3aa  have too few sites, skip
Group_4_29 rab10  have too few sites, skip
Group_677_3 tfap2d  have too few sites, skip
Group_627_2 hadhb  have too few sites, skip
Group_7019_0 abracl  have too few sites, skip
Group_5491_0 clu  have too few sites, skip
Group_4146_0 scg5  have too few sites, skip
Group_3940_0 emc7  have too few sites, skip
Group_2639_0 hsd17b10  have too few sites, skip
Group_192_10 avpr2  have too few sites, skip
Group_860_3 pip4k2c  have too few sites, skip
Group_254_4 igfbp6b  have too few sites, skip
Group_2979_1 spryd3  have too few sites, skip
Group_33_29 cd63  have too few sites, skip
Group_4544_0 zgc:56699  have too few sites, skip
Group_5527_0 rnf41  have too few sites, skip
Group_1838_0 racgap1  have too few sites, skip
Group_6670_0 si:ch211-210c8.6  have too few sites, skip
Group_7350_0 dazap2  have too few sites, skip
Group_1717_0 tfcp2  have too few sites, skip
Group_825_0 csrnp2  have too few sites, skip
Group_308_2 rapgef3  have too few sites, skip
Group_3107_0 slc48a1a  have too few sites, skip
Group_7377_0 si:dkey-205h13.1  have too few sites, skip
Group_2164_0 susd6  have too few sites, skip
Group_2868_1 max  have too few sites, skip
Group_5394_0 fntb  have too few sites, skip
Group_4_21 rab15  have too few sites, skip
Group_86_10 rgs6  have too few sites, skip
Group_387_0 dlgap2b  have too few sites, skip
Group_747_0 ypel5  have too few sites, skip
Group_2240_0 msra  have too few sites, skip
Group_113_11 dnajc5gb  have too few sites, skip
Group_7540_0 uts1  have too few sites, skip
Group_177_0 fabp7b  have too few sites, skip
Group_434_6 zgc:101840  have too few sites, skip
Group_8065_0 pnrc1  have too few sites, skip
Group_99_17 galnt14  have too few sites, skip
Group_5869_0 adat2  have too few sites, skip
Group_2898_0 aig1  have too few sites, skip
Group_380_2 ckbb  have too few sites, skip
Group_21_0 mark3  have too few sites, skip
Group_3538_1 unknown  have too few sites, skip
Group_1999_2 zbtb25  have too few sites, skip
Group_159_0 zic1  have too few sites, skip
Group_159_17 zic4  have too few sites, skip
Group_1781_1 si:ch73-206p6.1  have too few sites, skip
Group_295_6 chst2b  have too few sites, skip
Group_4099_0 vta1  have too few sites, skip
Group_3790_0 gje1  have too few sites, skip
Group_377_1 nmbr  have too few sites, skip
Group_5242_0 xrcc3  have too few sites, skip
Group_2862_1 ubr7  have too few sites, skip
Group_7669_0 tmem251  have too few sites, skip
Group_1000_3 tmem30ab  have too few sites, skip
Group_24_48 htr1b  have too few sites, skip
Group_4629_0 rps7  have too few sites, skip
Group_6925_0 slc35d3  have too few sites, skip
Group_6561_0 naa20  have too few sites, skip
Group_404_7 flrt2  have too few sites, skip
Group_6078_0 sf3b6  have too few sites, skip
Group_2712_1 soat1  have too few sites, skip
Group_5541_0 acbd6  have too few sites, skip
Group_580_2 mgat4b  have too few sites, skip
Group_16_29 stradb  have too few sites, skip
Group_3815_1 fdx1  have too few sites, skip
Group_6165_0 gtf2a1  have too few sites, skip
Group_4887_0 snw1  have too few sites, skip
Group_1858_0 ism2b  have too few sites, skip
Group_1009_2 ccnk  have too few sites, skip
Group_891_3 ccdc85cb  have too few sites, skip
Group_4366_0 si:ch211-197l9.4  have too few sites, skip
Group_282_1 enpp5  have too few sites, skip
Group_985_0 runx2b  have too few sites, skip
Group_467_0 fkbp1b  have too few sites, skip
Group_2575_0 ubxn2a  have too few sites, skip
Group_1518_0 napbb  have too few sites, skip
Group_3608_1 ltc4s  have too few sites, skip
Group_7761_0 ccdc69  have too few sites, skip
Group_233_6 b4galt7  have too few sites, skip
Group_94_19 loc107378104  have too few sites, skip
Group_8268_0 loc107378063  have too few sites, skip
Group_700_4 evl  have too few sites, skip
Group_2508_0 yy1b  have too few sites, skip
Group_270_9 lrfn5b  have too few sites, skip
Group_146_12 otx2  have too few sites, skip
Group_1438_0 mdga2  have too few sites, skip
Group_226_5 itgb3a  have too few sites, skip
Group_504_0 ppp2r5cb  have too few sites, skip
Group_659_4 hsp90aa1.1  have too few sites, skip
Group_5057_0 pigh  have too few sites, skip
Group_6180_0 zgc:172246  have too few sites, skip
Group_2114_2 stx7l  have too few sites, skip
Group_281_6 ctgfa  have too few sites, skip
Group_6586_0 si:dkeyp-59a8.4  have too few sites, skip
Group_311_7 elovl4b  have too few sites, skip
Group_1283_0 vegfab  have too few sites, skip
Group_2233_0 naga  have too few sites, skip
Group_3140_1 wdr26b  have too few sites, skip
Group_1652_0 si:ch211-57i17.1  have too few sites, skip
Group_5246_1 si:ch211-57i17.5  have too few sites, skip
Group_2553_0 tab2  have too few sites, skip
Group_5195_0 ppil4  have too few sites, skip
Group_7169_0 srp9  have too few sites, skip
Group_3401_0 tcf23  have too few sites, skip
Group_2521_0 rpl7l1  have too few sites, skip
Group_1657_2 paqr8  have too few sites, skip
Group_1025_1-Group_1025_2 snap25  have too few sites, skip
Group_536_2 stmn4  have too few sites, skip
Group_5312_0 brox  have too few sites, skip
Group_1651_0 hmbox1b  have too few sites, skip
Group_6213_0 elp3  have too few sites, skip
Group_2682_0 pnocb  have too few sites, skip
Group_1596_0 brms1lb  have too few sites, skip
Group_3402_1 tnfrsf21  have too few sites, skip
Group_1690_2 arhgap28  have too few sites, skip
Group_0_120 zbtb14  have too few sites, skip
Group_80_5 gnal  have too few sites, skip
Group_0_55 loc107397287  have too few sites, skip
Group_99_4 galnt11  have too few sites, skip
Group_711_1 prkag2a  have too few sites, skip
Group_883_2 kmt2ca  have too few sites, skip
Group_7087_0 sugct  have too few sites, skip
Group_2080_1 asph  have too few sites, skip
Group_565_1 clvs1  have too few sites, skip
Group_1297_3 nrn1a  have too few sites, skip
Group_2599_1 cyb5a  have too few sites, skip
Group_1514_2 tmeff1b  have too few sites, skip
Group_534_3 murcb  have too few sites, skip
Group_1506_0 ezh2  have too few sites, skip
Group_337_5 cul1b  have too few sites, skip
Group_2149_0 cldn11b  have too few sites, skip
Group_1814_2 rpl22l1  have too few sites, skip
Group_1793_1 eif5a  have too few sites, skip
Group_13_60 klhl15  have too few sites, skip
Group_1015_3 sat1  have too few sites, skip
Group_4179_0 eif1axa  have too few sites, skip
Group_2704_1 tnfsf10  have too few sites, skip
Group_1219_0 nceh1b  have too few sites, skip
Group_7306_0 lsm5  have too few sites, skip
Group_13_8 kbtbd2  have too few sites, skip
Group_7325_0 rnf152  have too few sites, skip
Group_49_1 cdh12a  have too few sites, skip
Group_5518_0 mbtps2  have too few sites, skip
Group_7728_0 smpx  have too few sites, skip
Group_57_36 tmtopsb  have too few sites, skip
Group_9337_0 myeov2  have too few sites, skip
Group_677_0 tfap2a  have too few sites, skip
