Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_7983_0 ptrhd1  have too few sites, skip
Group_272_0 loc107377742  have too few sites, skip
Group_6736_0 arv1  have too few sites, skip
Group_3329_1 fam89a  have too few sites, skip
Group_2418_1 trim67  have too few sites, skip
Group_6824_0 ccdc25  have too few sites, skip
Group_4_29 rab10  have too few sites, skip
Group_5464_0 lrp11  have too few sites, skip
Group_677_1 tfap2b  have too few sites, skip
Group_677_3 tfap2d  have too few sites, skip
Group_7019_0 abracl  have too few sites, skip
Group_5491_0 clu  have too few sites, skip
Group_4146_0 scg5  have too few sites, skip
Group_6035_0 sarnp  have too few sites, skip
Group_860_3 pip4k2c  have too few sites, skip
Group_33_29 cd63  have too few sites, skip
Group_4544_0 zgc:56699  have too few sites, skip
Group_206_10 dgkaa  have too few sites, skip
Group_5527_0 rnf41  have too few sites, skip
Group_309_8 dpp10  have too few sites, skip
Group_7350_0 dazap2  have too few sites, skip
Group_1717_0 tfcp2  have too few sites, skip
Group_334_0 thbs1b  have too few sites, skip
Group_7013_0 gpr176  have too few sites, skip
Group_86_10 rgs6  have too few sites, skip
Group_1693_1 si:dkey-126h10.1  have too few sites, skip
Group_6412_0 bpnt1  have too few sites, skip
Group_747_0 ypel5  have too few sites, skip
Group_139_2 cu326366.2  have too few sites, skip
Group_113_11 dnajc5gb  have too few sites, skip
Group_7540_0 uts1  have too few sites, skip
Group_1196_0 slc30a2  have too few sites, skip
Group_565_2 clvs2  have too few sites, skip
Group_177_0 fabp7b  have too few sites, skip
Group_434_6 zgc:101840  have too few sites, skip
Group_2522_2 vash2  have too few sites, skip
Group_1531_2 atf3  have too few sites, skip
Group_2898_0 aig1  have too few sites, skip
Group_6501_0 vipas39  have too few sites, skip
Group_380_2 ckbb  have too few sites, skip
Group_3538_1 unknown  have too few sites, skip
Group_5170_0 zbtb1  have too few sites, skip
Group_159_0 zic1  have too few sites, skip
Group_159_17 zic4  have too few sites, skip
Group_1781_1 si:ch73-206p6.1  have too few sites, skip
Group_202_9 slc9a9  have too few sites, skip
Group_295_6 chst2b  have too few sites, skip
Group_3790_0 gje1  have too few sites, skip
Group_377_1 nmbr  have too few sites, skip
Group_2862_1 ubr7  have too few sites, skip
Group_7669_0 tmem251  have too few sites, skip
Group_4629_0 rps7  have too few sites, skip
Group_6561_0 naa20  have too few sites, skip
Group_7110_0 prkrip1  have too few sites, skip
Group_6079_0 pla2g7  have too few sites, skip
Group_6078_0 sf3b6  have too few sites, skip
Group_6165_0 gtf2a1  have too few sites, skip
Group_4887_0 snw1  have too few sites, skip
Group_1009_2 ccnk  have too few sites, skip
Group_403_2 clic5b  have too few sites, skip
Group_985_0 runx2b  have too few sites, skip
Group_467_0 fkbp1b  have too few sites, skip
Group_2575_0 ubxn2a  have too few sites, skip
Group_1518_0 napbb  have too few sites, skip
Group_71_5 bmp2b  have too few sites, skip
Group_6124_0 lamp5  have too few sites, skip
Group_3608_1 ltc4s  have too few sites, skip
Group_233_6 b4galt7  have too few sites, skip
Group_94_19 loc107378104  have too few sites, skip
Group_700_4 evl  have too few sites, skip
Group_2508_0 yy1b  have too few sites, skip
Group_146_12 otx2  have too few sites, skip
Group_1535_0 mettl2a  have too few sites, skip
Group_226_5 itgb3a  have too few sites, skip
Group_504_0 ppp2r5cb  have too few sites, skip
Group_1016_0 dio3  have too few sites, skip
Group_5109_0 rps29  have too few sites, skip
Group_2995_1 mgat2  have too few sites, skip
Group_659_4 hsp90aa1.1  have too few sites, skip
Group_5057_0 pigh  have too few sites, skip
Group_5057_1 pigh  have too few sites, skip
Group_2114_2 stx7l  have too few sites, skip
Group_281_6 ctgfa  have too few sites, skip
Group_3566_0 sel1l  have too few sites, skip
Group_1816_2 tmem200a  have too few sites, skip
Group_1449_0 adck3  have too few sites, skip
Group_5597_0 rnf217  have too few sites, skip
Group_311_7 elovl4b  have too few sites, skip
Group_5663_0 ccnc  have too few sites, skip
Group_980_2 tmem63a  have too few sites, skip
Group_7380_0 mrps18a  have too few sites, skip
Group_1283_0 vegfab  have too few sites, skip
