Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_1184_2 fndc4a  have too few sites, skip
Group_4_94 rab32a  have too few sites, skip
Group_11_22 grm1a  have too few sites, skip
Group_675_1 acss1  have too few sites, skip
Group_331_3 daam1b  have too few sites, skip
Group_3133_1 si:dkey-25e12.3  have too few sites, skip
Group_4488_0 fdft1  have too few sites, skip
Group_2626_0 abhd1  have too few sites, skip
Group_6_62 si:dkey-121j17.5  have too few sites, skip
Group_195_10 si:dkey-121b10.7  have too few sites, skip
Group_32_16 si:ch211-203k16.3  have too few sites, skip
Group_796_1 snx9b  have too few sites, skip
Group_782_0 prox1a  have too few sites, skip
Group_20_19 ptpn14  have too few sites, skip
Group_151_16 si:dkey-206f10.1  have too few sites, skip
Group_1123_3 hebp2  have too few sites, skip
Group_7437_0 fam110c  have too few sites, skip
Group_6520_0 acp1  have too few sites, skip
Group_2636_0 fam150ba  have too few sites, skip
Group_7290_0 tmem18  have too few sites, skip
Group_145_3 gpr6  have too few sites, skip
Group_40_10 gsx1  have too few sites, skip
Group_972_3 rbm24a  have too few sites, skip
Group_6617_0 vps28  have too few sites, skip
Group_213_5 fam83hb  have too few sites, skip
Group_6118_0 snrpd1  have too few sites, skip
Group_1736_0 atp6v1c1b  have too few sites, skip
Group_1146_3 necab1  have too few sites, skip
Group_1659_2 tmem55a  have too few sites, skip
Group_9235_0 si:ch211-57n23.1  have too few sites, skip
Group_6674_0 gatad1  have too few sites, skip
Group_6675_0 uqcrb  have too few sites, skip
Group_21_17 trib1  have too few sites, skip
Group_13_19 klhl38a  have too few sites, skip
Group_8899_0 baalc  have too few sites, skip
Group_2828_1 tdp2b  have too few sites, skip
Group_5890_0 acot13  have too few sites, skip
Group_536_1 stmn2  have too few sites, skip
Group_1192_0 hey1  have too few sites, skip
Group_990_0 zbtb10  have too few sites, skip
Group_177_17 fabp11a  have too few sites, skip
Group_2847_1 fam8a1a  have too few sites, skip
Group_8233_0 ccdc167  have too few sites, skip
Group_2299_1 cdc40  have too few sites, skip
Group_2996_1 mettl24  have too few sites, skip
Group_1497_1 tram2  have too few sites, skip
Group_2681_1 xkr5  have too few sites, skip
Group_0_107 prdm1  have too few sites, skip
Group_2895_1 prep  have too few sites, skip
Group_9628_0 unknown  have too few sites, skip
Group_44_6 grik2  have too few sites, skip
Group_7417_1 ripply2  have too few sites, skip
Group_5444_0 mrap2a  have too few sites, skip
Group_2254_1 sobpb  have too few sites, skip
Group_121_11 lrg1  have too few sites, skip
Group_56_7 rhob  have too few sites, skip
Group_1573_1 laptm4a  have too few sites, skip
Group_137_16 matn3a  have too few sites, skip
Group_1709_2 elmsan1a  have too few sites, skip
Group_6364_1 churc1  have too few sites, skip
Group_6364_0 churc1  have too few sites, skip
Group_1637_0 nrbp1  have too few sites, skip
Group_443_2 rhag  have too few sites, skip
Group_4773_0 taf1a  have too few sites, skip
Group_5519_0 tcte1  have too few sites, skip
Group_1187_1 tmem151ba  have too few sites, skip
Group_1195_1 nfkbie  have too few sites, skip
Group_5995_0 slc35b2  have too few sites, skip
Group_6474_0 psmg2  have too few sites, skip
Group_659_3 hsp90ab1  have too few sites, skip
Group_2856_0 rbm25b  have too few sites, skip
Group_5027_0 eif2s1a  have too few sites, skip
Group_6496_0 atp6v1d  have too few sites, skip
Group_2346_0 gphnb  have too few sites, skip
Group_26_32 pdgfrb  have too few sites, skip
Group_7009_0 slc35a4  have too few sites, skip
Group_1287_0 ndst1a  have too few sites, skip
Group_4222_0 rbm22  have too few sites, skip
Group_30_8 arl3l2  have too few sites, skip
Group_4595_0 unc93a  have too few sites, skip
Group_666_2 ncoa1  have too few sites, skip
