Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_4063_1 rnaseh1  have too few sites, skip
Group_8134_0 loc107378189  have too few sites, skip
Group_6078_0 sf3b6  have too few sites, skip
Group_580_2 mgat4b  have too few sites, skip
Group_209_7 nbeal1  have too few sites, skip
Group_3815_1 fdx1  have too few sites, skip
Group_6714_0 cep128  have too few sites, skip
Group_4887_0 snw1  have too few sites, skip
Group_1009_2 ccnk  have too few sites, skip
Group_1518_0 napbb  have too few sites, skip
Group_7335_0 chgb  have too few sites, skip
Group_3608_1 ltc4s  have too few sites, skip
Group_7761_0 ccdc69  have too few sites, skip
Group_8268_0 loc107378063  have too few sites, skip
Group_700_4 evl  have too few sites, skip
Group_2508_0 yy1b  have too few sites, skip
Group_1438_0 mdga2  have too few sites, skip
Group_1535_0 mettl2a  have too few sites, skip
Group_504_0 ppp2r5cb  have too few sites, skip
Group_5057_0 pigh  have too few sites, skip
Group_5057_1 pigh  have too few sites, skip
Group_1565_0 zfyve1  have too few sites, skip
Group_5060_0 dcaf4l2  have too few sites, skip
Group_1982_1 si:dkey-177p2.18  have too few sites, skip
Group_6586_0 si:dkeyp-59a8.4  have too few sites, skip
Group_6599_0 hddc2  have too few sites, skip
Group_1283_0 vegfab  have too few sites, skip
Group_2233_0 naga  have too few sites, skip
Group_3140_1 wdr26b  have too few sites, skip
Group_2553_0 tab2  have too few sites, skip
Group_7169_0 srp9  have too few sites, skip
Group_1657_2 paqr8  have too few sites, skip
Group_1025_1-Group_1025_2 snap25  have too few sites, skip
Group_3560_1 ankef1b  have too few sites, skip
Group_59_27 loc107378232  have too few sites, skip
Group_59_23 adgrf3b  have too few sites, skip
Group_2415_1 disp1  have too few sites, skip
Group_6213_0 elp3  have too few sites, skip
Group_810_2 kif26bb  have too few sites, skip
Group_7053_0 zgc:162161  have too few sites, skip
Group_1195_0 nfkbiaa  have too few sites, skip
Group_0_120 zbtb14  have too few sites, skip
Group_80_5 gnal  have too few sites, skip
Group_711_1 prkag2a  have too few sites, skip
Group_883_2 kmt2ca  have too few sites, skip
Group_52_17 unknown  have too few sites, skip
Group_565_1 clvs1  have too few sites, skip
Group_1297_3 nrn1a  have too few sites, skip
Group_2599_1 cyb5a  have too few sites, skip
Group_1514_2 tmeff1b  have too few sites, skip
Group_1506_0 ezh2  have too few sites, skip
Group_1793_1 eif5a  have too few sites, skip
Group_4317_0 lrrc31  have too few sites, skip
Group_3485_0 lrrc34  have too few sites, skip
Group_13_60 klhl15  have too few sites, skip
Group_1015_3 sat1  have too few sites, skip
Group_4179_0 eif1axa  have too few sites, skip
Group_2704_1 tnfsf10  have too few sites, skip
Group_7306_0 lsm5  have too few sites, skip
Group_13_8 kbtbd2  have too few sites, skip
Group_1404_0 map3k15  have too few sites, skip
Group_57_36 tmtopsb  have too few sites, skip
Group_9337_0 myeov2  have too few sites, skip
Group_605_2 plcxd2  have too few sites, skip
Group_2922_0 tmem56a  have too few sites, skip
Group_8063_0 dap  have too few sites, skip
Group_4877_0 tpk1  have too few sites, skip
Group_6673_0 c8g  have too few sites, skip
Group_2363_1 msrb2  have too few sites, skip
Group_27_34 foxh1  have too few sites, skip
Group_583_5 pdk3a  have too few sites, skip
Group_7346_0 cmbl  have too few sites, skip
Group_730_2 cbln2b  have too few sites, skip
Group_844_0 jph1a  have too few sites, skip
Group_6304_0 tceb1a  have too few sites, skip
Group_58_9 ube2w  have too few sites, skip
Group_2355_1 stau2  have too few sites, skip
Group_9692_0 unknown  have too few sites, skip
Group_1008_0 eya1  have too few sites, skip
Group_1497_2 tram1  have too few sites, skip
Group_6014_0 cops5  have too few sites, skip
Group_3401_1 tcf24  have too few sites, skip
Group_6_23 sgk3  have too few sites, skip
Group_3507_0 crhb  have too few sites, skip
Group_790_0 trim55b  have too few sites, skip
Group_1613_0 armc1  have too few sites, skip
Group_2431_1 bhlhe22  have too few sites, skip
Group_26_37 flt3  have too few sites, skip
Group_4933_0 rpl21  have too few sites, skip
Group_6480_0 ppp1r2  have too few sites, skip
Group_4933_1 rpl21  have too few sites, skip
Group_277_5 usp12a  have too few sites, skip
Group_19_31 cdk8  have too few sites, skip
Group_2121_0 shisa2  have too few sites, skip
Group_1255_1 gramd1c  have too few sites, skip
Group_5061_0 ccdc58  have too few sites, skip
Group_382_7 kpna1  have too few sites, skip
Group_0_86 zbtb47a  have too few sites, skip
Group_294_1 ctdspla  have too few sites, skip
Group_16_26 oxsr1b  have too few sites, skip
Group_74_15 zgc:153639  have too few sites, skip
Group_74_16 zgc:153639  have too few sites, skip
Group_2916_1 slc35g2b  have too few sites, skip
Group_2886_1 tgif1  have too few sites, skip
Group_113_17 dnajb6b  have too few sites, skip
Group_5776_0 zfand1  have too few sites, skip
Group_307_6 mrc1a  have too few sites, skip
Group_12_26 yes1  have too few sites, skip
Group_320_5 myl12.1  have too few sites, skip
Group_2466_1 chmp5b  have too few sites, skip
Group_86_15 cu681855.1  have too few sites, skip
Group_110_12 sox32  have too few sites, skip
Group_134_9 pou6f2  have too few sites, skip
Group_4092_0 ankha  have too few sites, skip
Group_1033_0 fam49bb  have too few sites, skip
Group_1637_1 nrbp2b  have too few sites, skip
Group_5341_0 lztfl1  have too few sites, skip
Group_3_16 ccr9b  have too few sites, skip
Group_4421_0 pxdc1b  have too few sites, skip
Group_3871_1 ccdc102a  have too few sites, skip
Group_2458_1 dok4  have too few sites, skip
Group_2641_0 wdr45b  have too few sites, skip
Group_71_1 bmp6  have too few sites, skip
Group_7477_0 nanog  have too few sites, skip
Group_2602_1 pabpn1  have too few sites, skip
Group_843_2 ramp3  have too few sites, skip
Group_242_3 cngb3  have too few sites, skip
Group_4625_0 rbbp8  have too few sites, skip
Group_337_4 cul2  have too few sites, skip
Group_4_7 rab18  have too few sites, skip
Group_84_21 ttn.2  have too few sites, skip
Group_1098_2 il10rb  have too few sites, skip
Group_1363_0 clasp1a  have too few sites, skip
Group_309_5 dpp10  have too few sites, skip
Group_15_4 ank2  have too few sites, skip
Group_5633_0 zgc:101819  have too few sites, skip
Group_511_2 ppp2r2ca  have too few sites, skip
Group_22_38 stk17b  have too few sites, skip
Group_3080_0 lypd1  have too few sites, skip
Group_4972_0 osgepl1  have too few sites, skip
Group_7654_0 ddt  have too few sites, skip
Group_1676_0 gstt1b  have too few sites, skip
Group_17_5 kif5b  have too few sites, skip
Group_138_0 arhgap12b  have too few sites, skip
Group_1699_2 rnf11a  have too few sites, skip
Group_13_34 keap1b  have too few sites, skip
Group_923_0 efnb2a  have too few sites, skip
Group_8_65 col11a1a  have too few sites, skip
Group_715_0 ikzf1  have too few sites, skip
Group_176_8 cpne3  have too few sites, skip
Group_397_8 adarb2  have too few sites, skip
Group_656_0 pfkpa  have too few sites, skip
Group_51_42 loc107382657  have too few sites, skip
Group_6371_0 rps3a  have too few sites, skip
Group_2867_1 mab21l2  have too few sites, skip
Group_2312_0 fam114a1  have too few sites, skip
Group_793_4 mcoln3a  have too few sites, skip
Group_4790_0 slc35f6  have too few sites, skip
Group_156_5 kcnk3  have too few sites, skip
Group_1867_1 capza1b  have too few sites, skip
Group_5079_0 gtf2e2  have too few sites, skip
Group_268_4 loc107393889  have too few sites, skip
Group_453_5 si:ch211-130m23.5  have too few sites, skip
Group_2659_0 chic2  have too few sites, skip
Group_970_0 loc107382209  have too few sites, skip
Group_7207_0 zgc:101679  have too few sites, skip
Group_459_4 emp1  have too few sites, skip
Group_8143_1 si:ch211-207j7.2  have too few sites, skip
Group_330_3 plppr2  have too few sites, skip
Group_3529_0 elof1  have too few sites, skip
Group_4_18 rab3da  have too few sites, skip
Group_654_0 nfix  have too few sites, skip
Group_2647_2 hand2  have too few sites, skip
Group_2308_1 ero1b  have too few sites, skip
Group_138_3 arhgap15  have too few sites, skip
Group_84_22 loc107382786  have too few sites, skip
Group_1402_2 reep5  have too few sites, skip
Group_333_7 megf10  have too few sites, skip
Group_812_3 lmnb1  have too few sites, skip
Group_6417_0 pbdc1  have too few sites, skip
Group_288_1 fam19a1a  have too few sites, skip
Group_2500_0 ugp2a  have too few sites, skip
Group_7318_0 tmem246  have too few sites, skip
Group_39_17 pex6  have too few sites, skip
Group_7432_0 polg2  have too few sites, skip
Group_375_0 ap1m2  have too few sites, skip
Group_3429_1 smdt1b  have too few sites, skip
Group_2359_0 zgc:158803  have too few sites, skip
Group_7431_0 mb  have too few sites, skip
Group_877_2 adap2  have too few sites, skip
Group_2806_0 hn1a  have too few sites, skip
Group_784_2 sumo2b  have too few sites, skip
Group_36_32 ddx39ab  have too few sites, skip
Group_4966_0 trappc5  have too few sites, skip
Group_6_13 pkn1a  have too few sites, skip
Group_2807_1 tmx2b  have too few sites, skip
Group_204_5 zdhhc5a  have too few sites, skip
Group_9222_0 si:dkey-9i23.8  have too few sites, skip
Group_7242_0 zgc:77929  have too few sites, skip
Group_3470_0-Group_3470_1 atpv0e2  have too few sites, skip
Group_2904_1 arhgap19  have too few sites, skip
Group_66_18 dla  have too few sites, skip
Group_6214_0 thoc6  have too few sites, skip
Group_2596_1 sntg1  have too few sites, skip
Group_1773_2 tmem121b  have too few sites, skip
Group_256_4 slc24a4b  have too few sites, skip
Group_1046_3 nt5c1bb  have too few sites, skip
Group_122_16 rdh14b  have too few sites, skip
Group_981_2 slc35a1  have too few sites, skip
Group_7128_0 vgll2a  have too few sites, skip
Group_1827_0-Group_1827_2 arpp19a  have too few sites, skip
Group_7622_0 bcl2l10  have too few sites, skip
Group_8203_0 si:ch211-39k3.2  have too few sites, skip
Group_259_8 irx3a  have too few sites, skip
Group_5553_0 fto  have too few sites, skip
Group_5578_0 aktip  have too few sites, skip
Group_571_2 sall1a  have too few sites, skip
Group_2177_1 brd7  have too few sites, skip
Group_6788_0 fadd  have too few sites, skip
Group_1047_4 txlng  have too few sites, skip
Group_12_50 csk  have too few sites, skip
Group_3245_0 edc3  have too few sites, skip
Group_6794_0 phf5a  have too few sites, skip
Group_593_3 tefa  have too few sites, skip
Group_36_36 ddx28  have too few sites, skip
Group_87_27 loc107381550  have too few sites, skip
Group_33_22 tspan3a  have too few sites, skip
Group_6661_0 sec11a  have too few sites, skip
Group_3099_2 si:ch211-112g6.4  have too few sites, skip
Group_1379_2 dis3l  have too few sites, skip
Group_31_23 kcng4  have too few sites, skip
Group_1734_0 vps13c  have too few sites, skip
Group_5563_0 agrp  have too few sites, skip
Group_3_99 galr1b  have too few sites, skip
Group_1648_2 tppp3  have too few sites, skip
Group_421_3 hsd11b2  have too few sites, skip
Group_7434_1 si:ch73-28h20.1  have too few sites, skip
Group_4436_0 nsmce4a  have too few sites, skip
Group_1669_1 cfl1l  have too few sites, skip
Group_5966_0 mgme1  have too few sites, skip
Group_2969_0 si:dkey-76k16.5  have too few sites, skip
Group_1172_1 cib2  have too few sites, skip
Group_6135_0 cog8  have too few sites, skip
Group_6136_0 nob1  have too few sites, skip
Group_3923_0 wdr59  have too few sites, skip
Group_17_54 kifc3  have too few sites, skip
Group_6397_0 gtf2a2  have too few sites, skip
Group_536_3 stmn4l  have too few sites, skip
Group_323_5 cct4  have too few sites, skip
Group_6921_0 spcs3  have too few sites, skip
Group_1677_2 idh2  have too few sites, skip
Group_2607_0 tmed3  have too few sites, skip
Group_17_19 kif18a  have too few sites, skip
Group_964_1 si:ch211-150g13.3  have too few sites, skip
Group_2627_1 abhd2a  have too few sites, skip
Group_3623_1 eif3jb  have too few sites, skip
Group_8222_0 polr2l  have too few sites, skip
Group_2205_0 dagla  have too few sites, skip
Group_2446_0 fam60al  have too few sites, skip
Group_1673_1 tmem41b  have too few sites, skip
Group_2243_1 ipo7  have too few sites, skip
Group_1786_0 agfg1a  have too few sites, skip
Group_1108_3 slc19a3b  have too few sites, skip
Group_841_0 tub  have too few sites, skip
Group_2725_0 ric3  have too few sites, skip
Group_6150_0 ctr9  have too few sites, skip
Group_80_29 gnao1b  have too few sites, skip
Group_6416_0 nudt21  have too few sites, skip
Group_0_5 ctcf  have too few sites, skip
Group_6320_0 pigb  have too few sites, skip
Group_179_4 mtmr10  have too few sites, skip
Group_176_4 cpne7  have too few sites, skip
Group_5426_0 rpl13  have too few sites, skip
Group_2796_0 gcshb  have too few sites, skip
Group_786_1 vat1l  have too few sites, skip
Group_1120_4 calb2b  have too few sites, skip
Group_2252_1 strc  have too few sites, skip
Group_17_28 kif7  have too few sites, skip
Group_4764_1 pdcd5  have too few sites, skip
Group_4764_0 pdcd5  have too few sites, skip
Group_7060_0 cyba  have too few sites, skip
Group_4128_0 def8  have too few sites, skip
Group_27_37 foxf1  have too few sites, skip
Group_64_20 dusp22a  have too few sites, skip
Group_283_8 maf  have too few sites, skip
Group_3358_2 cdc42se1  have too few sites, skip
Group_4851_1 nip7  have too few sites, skip
Group_6262_1 bet1  have too few sites, skip
Group_626_6 zdhhc7  have too few sites, skip
Group_2567_1 si:ch73-167i17.6  have too few sites, skip
Group_2941_0 zfand3  have too few sites, skip
Group_400_2 slc38a4  have too few sites, skip
Group_312_7 nfatc3a  have too few sites, skip
Group_56_14 rhoua  have too few sites, skip
Group_66_17 dll1  have too few sites, skip
Group_1335_2 hnrnph3  have too few sites, skip
Group_529_7 hk1  have too few sites, skip
Group_529_1 hkdc1  have too few sites, skip
Group_6802_1 mpc1  have too few sites, skip
