Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_677_3 tfap2d  have too few sites, skip
Group_59_19 adgrg11  have too few sites, skip
Group_1064_2 scara3  have too few sites, skip
Group_4146_0 scg5  have too few sites, skip
Group_3940_0 emc7  have too few sites, skip
Group_6035_0 sarnp  have too few sites, skip
Group_192_10 avpr2  have too few sites, skip
Group_206_10 dgkaa  have too few sites, skip
Group_7350_0 dazap2  have too few sites, skip
Group_1717_0 tfcp2  have too few sites, skip
Group_7377_0 si:dkey-205h13.1  have too few sites, skip
Group_5259_0 pink1  have too few sites, skip
Group_2_81 loc107390419  have too few sites, skip
Group_334_0 thbs1b  have too few sites, skip
Group_348_5 si:dkey-11e23.3  have too few sites, skip
Group_1693_1 si:dkey-126h10.1  have too few sites, skip
Group_6412_0 bpnt1  have too few sites, skip
Group_747_0 ypel5  have too few sites, skip
Group_139_2 cu326366.2  have too few sites, skip
Group_10_29 gpr31  have too few sites, skip
Group_113_11 dnajc5gb  have too few sites, skip
Group_1196_0 slc30a2  have too few sites, skip
Group_434_6 zgc:101840  have too few sites, skip
Group_2522_2 vash2  have too few sites, skip
Group_3242_0 batf3  have too few sites, skip
Group_1531_2 atf3  have too few sites, skip
Group_599_0 hivep2a  have too few sites, skip
Group_2961_0 ahsa1a  have too few sites, skip
Group_6501_0 vipas39  have too few sites, skip
Group_3538_1 unknown  have too few sites, skip
Group_810_3 kif26aa  have too few sites, skip
Group_15_10 kidins220b  have too few sites, skip
Group_159_17 zic4  have too few sites, skip
Group_1781_1 si:ch73-206p6.1  have too few sites, skip
Group_202_9 slc9a9  have too few sites, skip
Group_295_6 chst2b  have too few sites, skip
Group_3790_0 gje1  have too few sites, skip
Group_2862_1 ubr7  have too few sites, skip
Group_7669_0 tmem251  have too few sites, skip
Group_1000_3 tmem30ab  have too few sites, skip
Group_4629_0 rps7  have too few sites, skip
Group_4063_1 rnaseh1  have too few sites, skip
Group_6561_0 naa20  have too few sites, skip
Group_8134_0 loc107378189  have too few sites, skip
Group_6078_0 sf3b6  have too few sites, skip
Group_580_2 mgat4b  have too few sites, skip
Group_209_7 nbeal1  have too few sites, skip
Group_6714_0 cep128  have too few sites, skip
Group_4887_0 snw1  have too few sites, skip
Group_403_2 clic5b  have too few sites, skip
Group_985_0 runx2b  have too few sites, skip
Group_467_0 fkbp1b  have too few sites, skip
Group_2575_0 ubxn2a  have too few sites, skip
Group_7335_0 chgb  have too few sites, skip
Group_6124_0 lamp5  have too few sites, skip
Group_3608_1 ltc4s  have too few sites, skip
Group_233_6 b4galt7  have too few sites, skip
Group_700_4 evl  have too few sites, skip
Group_2508_0 yy1b  have too few sites, skip
Group_146_12 otx2  have too few sites, skip
Group_1438_0 mdga2  have too few sites, skip
Group_1535_0 mettl2a  have too few sites, skip
Group_226_5 itgb3a  have too few sites, skip
Group_504_0 ppp2r5cb  have too few sites, skip
Group_1016_0 dio3  have too few sites, skip
Group_659_4 hsp90aa1.1  have too few sites, skip
Group_5057_0 pigh  have too few sites, skip
Group_5057_1 pigh  have too few sites, skip
Group_1565_0 zfyve1  have too few sites, skip
Group_5060_0 dcaf4l2  have too few sites, skip
Group_2114_2 stx7l  have too few sites, skip
Group_1982_1 si:dkey-177p2.18  have too few sites, skip
Group_1449_0 adck3  have too few sites, skip
Group_6599_0 hddc2  have too few sites, skip
Group_311_7 elovl4b  have too few sites, skip
Group_5663_0 ccnc  have too few sites, skip
Group_980_2 tmem63a  have too few sites, skip
Group_7380_0 mrps18a  have too few sites, skip
Group_1283_0 vegfab  have too few sites, skip
Group_1652_0 si:ch211-57i17.1  have too few sites, skip
Group_6155_0 cgrrf1  have too few sites, skip
Group_39_32 psmc6  have too few sites, skip
Group_2553_0 tab2  have too few sites, skip
Group_7169_0 srp9  have too few sites, skip
Group_3401_0 tcf23  have too few sites, skip
Group_2521_0 rpl7l1  have too few sites, skip
Group_1657_2 paqr8  have too few sites, skip
Group_1025_1-Group_1025_2 snap25  have too few sites, skip
Group_3560_1 ankef1b  have too few sites, skip
Group_536_2 stmn4  have too few sites, skip
Group_59_27 loc107378232  have too few sites, skip
Group_59_23 adgrf3b  have too few sites, skip
Group_8764_0 fam177b  have too few sites, skip
Group_2415_1 disp1  have too few sites, skip
Group_1651_0 hmbox1b  have too few sites, skip
Group_6213_0 elp3  have too few sites, skip
Group_2682_0 pnocb  have too few sites, skip
Group_4030_1 lft1  have too few sites, skip
Group_1268_2 hnrnpua  have too few sites, skip
Group_810_2 kif26bb  have too few sites, skip
Group_7053_0 zgc:162161  have too few sites, skip
Group_1195_0 nfkbiaa  have too few sites, skip
Group_0_120 zbtb14  have too few sites, skip
Group_80_5 gnal  have too few sites, skip
Group_1625_0 chodl  have too few sites, skip
Group_711_1 prkag2a  have too few sites, skip
Group_883_2 kmt2ca  have too few sites, skip
Group_6654_0 nub1  have too few sites, skip
Group_46_19 crygn2  have too few sites, skip
Group_52_17 unknown  have too few sites, skip
Group_2080_1 asph  have too few sites, skip
Group_565_1 clvs1  have too few sites, skip
Group_1297_3 nrn1a  have too few sites, skip
Group_3935_0 fars2  have too few sites, skip
Group_1510_2 si:ch211-152c8.5  have too few sites, skip
Group_2599_1 cyb5a  have too few sites, skip
Group_1514_2 tmeff1b  have too few sites, skip
Group_534_3 murcb  have too few sites, skip
Group_1506_0 ezh2  have too few sites, skip
Group_8709_0 zgc:194621  have too few sites, skip
Group_2149_0 cldn11b  have too few sites, skip
Group_1793_1 eif5a  have too few sites, skip
Group_1260_1 pld1b  have too few sites, skip
Group_4317_0 lrrc31  have too few sites, skip
Group_3485_0 lrrc34  have too few sites, skip
Group_5682_0 eif2s3  have too few sites, skip
Group_13_60 klhl15  have too few sites, skip
Group_1015_3 sat1  have too few sites, skip
Group_4179_0 eif1axa  have too few sites, skip
Group_2496_0 emc9  have too few sites, skip
Group_7306_0 lsm5  have too few sites, skip
Group_13_8 kbtbd2  have too few sites, skip
Group_49_0 cdh10a  have too few sites, skip
Group_1404_0 map3k15  have too few sites, skip
Group_9337_0 myeov2  have too few sites, skip
Group_1984_0 tmem14ca  have too few sites, skip
Group_605_2 plcxd2  have too few sites, skip
Group_4076_0 zc2hc1a  have too few sites, skip
Group_8063_0 dap  have too few sites, skip
Group_5937_0 nup58  have too few sites, skip
Group_122_12 zgc:112332  have too few sites, skip
Group_4877_0 tpk1  have too few sites, skip
Group_2363_1 msrb2  have too few sites, skip
Group_860_0 pip4k2aa  have too few sites, skip
Group_6604_0 oplah  have too few sites, skip
Group_856_0 zdhhc20b  have too few sites, skip
Group_583_5 pdk3a  have too few sites, skip
Group_1528_2 pcyt1ba  have too few sites, skip
Group_7520_0 ndufb4  have too few sites, skip
Group_8808_0 si:dkey-12l12.1  have too few sites, skip
Group_8377_0 prlh2  have too few sites, skip
Group_8108_0 si:dkey-118j18.2  have too few sites, skip
Group_7346_0 cmbl  have too few sites, skip
Group_2654_1 march6  have too few sites, skip
Group_1054_0 neto1l  have too few sites, skip
Group_730_2 cbln2b  have too few sites, skip
Group_844_0 jph1a  have too few sites, skip
Group_6304_0 tceb1a  have too few sites, skip
Group_58_9 ube2w  have too few sites, skip
Group_2355_1 stau2  have too few sites, skip
Group_835_0 rdh10a  have too few sites, skip
Group_9692_0 unknown  have too few sites, skip
Group_1008_0 eya1  have too few sites, skip
Group_1497_2 tram1  have too few sites, skip
Group_6014_0 cops5  have too few sites, skip
Group_6071_0 ppp1r42  have too few sites, skip
Group_3401_1 tcf24  have too few sites, skip
Group_9018_0 si:dkey-97a13.12  have too few sites, skip
Group_790_0 trim55b  have too few sites, skip
Group_4314_0 mtfr1  have too few sites, skip
Group_1613_0 armc1  have too few sites, skip
Group_2431_1 bhlhe22  have too few sites, skip
Group_516_0 tagln3b  have too few sites, skip
Group_26_37 flt3  have too few sites, skip
Group_4933_0 rpl21  have too few sites, skip
Group_2319_1 rnf13  have too few sites, skip
Group_6480_0 ppp1r2  have too few sites, skip
Group_4933_1 rpl21  have too few sites, skip
Group_277_5 usp12a  have too few sites, skip
Group_19_31 cdk8  have too few sites, skip
Group_6543_0 naa50  have too few sites, skip
Group_1255_1 gramd1c  have too few sites, skip
Group_0_86 zbtb47a  have too few sites, skip
Group_4248_1 gars  have too few sites, skip
Group_294_1 ctdspla  have too few sites, skip
Group_91_2 plcd1a  have too few sites, skip
Group_16_26 oxsr1b  have too few sites, skip
Group_74_15 zgc:153639  have too few sites, skip
Group_74_16 zgc:153639  have too few sites, skip
Group_825_1 csrnp1b  have too few sites, skip
Group_2886_1 tgif1  have too few sites, skip
Group_113_17 dnajb6b  have too few sites, skip
Group_5776_0 zfand1  have too few sites, skip
Group_30_38 arl8  have too few sites, skip
Group_416_5 cacnb2a  have too few sites, skip
Group_307_6 mrc1a  have too few sites, skip
Group_12_26 yes1  have too few sites, skip
Group_320_5 myl12.1  have too few sites, skip
Group_2466_1 chmp5b  have too few sites, skip
Group_3_85 oprk1  have too few sites, skip
Group_110_12 sox32  have too few sites, skip
Group_4184_0 vps41  have too few sites, skip
Group_134_9 pou6f2  have too few sites, skip
Group_1033_0 fam49bb  have too few sites, skip
Group_590_4 asap1b  have too few sites, skip
Group_2766_0 puf60  have too few sites, skip
Group_1637_1 nrbp2b  have too few sites, skip
Group_5341_0 lztfl1  have too few sites, skip
Group_4421_0 pxdc1b  have too few sites, skip
Group_2458_1 dok4  have too few sites, skip
Group_2641_0 wdr45b  have too few sites, skip
Group_0_64 loc107374395  have too few sites, skip
Group_7477_0 nanog  have too few sites, skip
Group_893_1 tm9sf1  have too few sites, skip
Group_2897_1 fen1  have too few sites, skip
Group_7037_0 thtpa  have too few sites, skip
Group_2602_1 pabpn1  have too few sites, skip
Group_74_23 slc22a17  have too few sites, skip
Group_843_2 ramp3  have too few sites, skip
Group_7283_0 pomp  have too few sites, skip
Group_85_1 mmp16  have too few sites, skip
Group_242_3 cngb3  have too few sites, skip
Group_758_1 fbxo45  have too few sites, skip
Group_4625_0 rbbp8  have too few sites, skip
Group_1071_2 sh3glb1a  have too few sites, skip
Group_2298_1 waca  have too few sites, skip
Group_143_11 mpp7  have too few sites, skip
Group_337_4 cul2  have too few sites, skip
Group_4_7 rab18  have too few sites, skip
Group_2997_1 mkxa  have too few sites, skip
Group_84_21 ttn.2  have too few sites, skip
Group_946_1 slc10a2  have too few sites, skip
Group_108_13 si:dkey-219c10.4  have too few sites, skip
Group_6483_0 nifk  have too few sites, skip
Group_1363_0 clasp1a  have too few sites, skip
Group_309_5 dpp10  have too few sites, skip
Group_5447_0 zc3h15  have too few sites, skip
Group_5221_0 rbm45  have too few sites, skip
Group_176_10 cpne3  have too few sites, skip
Group_15_4 ank2  have too few sites, skip
Group_5151_0 tyw5  have too few sites, skip
Group_3080_0 lypd1  have too few sites, skip
Group_2474_0 slc35f5  have too few sites, skip
Group_4972_0 osgepl1  have too few sites, skip
Group_7654_0 ddt  have too few sites, skip
Group_1676_0 gstt1b  have too few sites, skip
Group_17_5 kif5b  have too few sites, skip
Group_138_0 arhgap12b  have too few sites, skip
Group_3530_0 nags  have too few sites, skip
Group_1699_2 rnf11a  have too few sites, skip
Group_7092_0 fdx1l  have too few sites, skip
Group_13_34 keap1b  have too few sites, skip
Group_1850_2 lancl2  have too few sites, skip
Group_8_65 col11a1a  have too few sites, skip
Group_715_0 ikzf1  have too few sites, skip
Group_4363_0 ttl  have too few sites, skip
Group_6022_0 mcfd2  have too few sites, skip
Group_397_8 adarb2  have too few sites, skip
Group_51_42 loc107382657  have too few sites, skip
Group_1157_1 ccny  have too few sites, skip
Group_6577_0 dctpp1  have too few sites, skip
Group_6371_0 rps3a  have too few sites, skip
Group_2867_1 mab21l2  have too few sites, skip
Group_8110_0 tmem187  have too few sites, skip
Group_415_1 shisa9a  have too few sites, skip
Group_56_42 rhoh  have too few sites, skip
Group_2061_1 pds5a  have too few sites, skip
Group_2312_0 fam114a1  have too few sites, skip
Group_5038_1 rpl9  have too few sites, skip
Group_9151_0 unknown  have too few sites, skip
Group_183_14 c1ql3b  have too few sites, skip
Group_944_1 gpt2l  have too few sites, skip
Group_793_4 mcoln3a  have too few sites, skip
Group_5395_0 hlx1  have too few sites, skip
Group_156_5 kcnk3  have too few sites, skip
Group_5288_0 lpgat1  have too few sites, skip
Group_1867_1 capza1b  have too few sites, skip
Group_5079_0 gtf2e2  have too few sites, skip
Group_268_4 loc107393889  have too few sites, skip
Group_453_5 si:ch211-130m23.5  have too few sites, skip
Group_2659_0 chic2  have too few sites, skip
Group_3128_0 ociad1  have too few sites, skip
Group_970_0 loc107382209  have too few sites, skip
Group_8143_1 si:ch211-207j7.2  have too few sites, skip
